,Response,Error,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,totalSeasons
0,False,Movie not found!,,,,,,,,,,,,,,,,,,,,,,,,,
1,False,Movie not found!,,,,,,,,,,,,,,,,,,,,,,,,,
2,False,Movie not found!,,,,,,,,,,,,,,,,,,,,,,,,,
3,False,Movie not found!,,,,,,,,,,,,,,,,,,,,,,,,,
4,False,Movie not found!,,,,,,,,,,,,,,,,,,,,,,,,,
5,False,Movie not found!,,,,,,,,,,,,,,,,,,,,,,,,,
6,False,Movie not found!,,,,,,,,,,,,,,,,,,,,,,,,,
7,False,Movie not found!,,,,,,,,,,,,,,,,,,,,,,,,,
8,False,Movie not found!,,,,,,,,,,,,,,,,,,,,,,,,,
9,False,Movie not found!,,,,,,,,,,,,,,,,,,,,,,,,,
10,True,,Maurice Chevalier,1965,N/A,11 May 1965,30 min,Family,N/A,N/A,"Maurice Chevalier, Lilli Palmer",N/A,"German, French",West Germany,N/A,N/A,[],N/A,N/A,N/A,tt4438320,movie,N/A,N/A,N/A,N/A,
11,False,Movie not found!,,,,,,,,,,,,,,,,,,,,,,,,,
12,False,Movie not found!,,,,,,,,,,,,,,,,,,,,,,,,,
13,True,,A Fireside Chat with Lionel Barrymore,1938,N/A,01 Dec 1938,3 min,"Comedy, Drama, Fantasy",Edwin L. Marin,N/A,Lionel Barrymore,A short made by MGM to promote its release of A Christmas Carol (1938). Actor Lionel Barrymore traditionally read the 'Charles Dickens (I)' novel in a radio broadcast every Christmas; he ...,English,USA,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}]",N/A,6.8,6,tt0434035,movie,N/A,N/A,N/A,N/A,
14,False,Movie not found!,,,,,,,,,,,,,,,,,,,,,,,,,
15,False,Movie not found!,,,,,,,,,,,,,,,,,,,,,,,,,
16,True,,Fredric March Presents Tales from Dickens,1958–,N/A,N/A,30 min,Drama,N/A,N/A,"Fredric March, Robert Arditti",N/A,English,UK,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}]",N/A,7.7,10,tt0166463,series,,,,,N/A
17,False,Movie not found!,,,,,,,,,,,,,,,,,,,,,,,,,
18,False,Movie not found!,,,,,,,,,,,,,,,,,,,,,,,,,
19,False,Movie not found!,,,,,,,,,,,,,,,,,,,,,,,,,
20,True,,Fredric March Presents Tales from Dickens,1958–,N/A,N/A,30 min,Drama,N/A,N/A,"Fredric March, Robert Arditti",N/A,English,UK,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}]",N/A,7.7,10,tt0166463,series,,,,,N/A
21,True,,Leslie Howard: The Man Who Gave a Damn,2016,N/A,11 Feb 2016,84 min,"Documentary, Biography, History",Thomas Hamilton,"Thomas Hamilton, Derek Partridge, Alistair Wyllie","Derek Partridge, Norman Spencer, Matthew Sweet, Doug Wheeler",Intimate and compelling documentary on the life and career of Leslie Howard (1893-1943),English,UK,N/A,https://m.media-amazon.com/images/M/MV5BMTgyNDQ1ODY2N15BMl5BanBnXkFtZTgwNjU3MTQxNTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '9.0/10'}]",N/A,9.0,57,tt2033298,movie,N/A,N/A,N/A,N/A,
22,True,,Charles Laughton Directs 'The Night of the Hunter',2002,N/A,15 Aug 2002,159 min,Documentary,N/A,N/A,N/A,N/A,English,USA,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}]",N/A,7.9,47,tt2062501,movie,N/A,N/A,N/A,N/A,
23,False,Movie not found!,,,,,,,,,,,,,,,,,,,,,,,,,
24,True,,"Clark Gable: Tall, Dark and Handsome",1996,N/A,N/A,N/A,Documentary,Susan F. Walker,David Kim,"Liam Neeson, James Bacon, Carroll Baker, John Clark Gable",N/A,English,USA,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}]",N/A,7.2,65,tt0168590,movie,N/A,N/A,N/A,N/A,
25,True,,Sound of Redemption: The Frank Morgan Story,2014,N/A,02 Dec 2015,84 min,"Documentary, Biography, Drama",N.C. Heikin,"Michael Connelly (story), N.C. Heikin, Delfeayo Marsalis","Frank Morgan, Mark Gross, Ron Carter, Grace Kelly","At the late night jam sessions in LA, Jazz musicians used to dedicate their shows to the greatest alto sax player in the world, Frank Morgan, but if you wanted to hear him, you had to go to San Quentin. We went.",English,USA,1 nomination.,https://m.media-amazon.com/images/M/MV5BYTgzYTk2NGMtYTI1MC00YTA1LTg4MmUtZGRmZDVkZGFmMTk3XkEyXkFqcGdeQXVyMjAyNTk0NjM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}, {'Source': 'Metacritic', 'Value': '75/100'}]",75,7.0,24,tt2990756,movie,28 Feb 2017,N/A,Hieronymus Pictures,N/A,
26,True,,William Powell: A True Gentleman,2005,N/A,02 Aug 2005,31 min,"Short, Biography",N/A,N/A,"Rudy Behlmer, Carole Lombard, Myrna Loy, Leonard Maltin",A biography on the life of William Powell narrated by Michael York.,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BYjU1NmQ5MmEtMWQ4ZC00MjdiLTllN2YtZTliZjJkNTRjOTJkXkEyXkFqcGdeQXVyMzU1OTUzMDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}]",N/A,7.1,43,tt1641843,movie,N/A,N/A,N/A,N/A,
27,True,,"Clark Gable: Tall, Dark and Handsome",1996,N/A,N/A,N/A,Documentary,Susan F. Walker,David Kim,"Liam Neeson, James Bacon, Carroll Baker, John Clark Gable",N/A,English,USA,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}]",N/A,7.2,65,tt0168590,movie,N/A,N/A,N/A,N/A,
28,True,,Charles Laughton Directs 'The Night of the Hunter',2002,N/A,15 Aug 2002,159 min,Documentary,N/A,N/A,N/A,N/A,English,USA,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}]",N/A,7.9,47,tt2062501,movie,N/A,N/A,N/A,N/A,
29,False,Movie not found!,,,,,,,,,,,,,,,,,,,,,,,,,
30,False,Movie not found!,,,,,,,,,,,,,,,,,,,,,,,,,
31,False,Movie not found!,,,,,,,,,,,,,,,,,,,,,,,,,
32,True,,Goodbye Gary Cooper,2009,N/A,22 Jul 2009,75 min,Drama,Nassim Amaouche,Nassim Amaouche (screenplay),"Jean-Pierre Bacri, Dominique Reymond, Yasmine Belmadi, Mhamed Arezki","When their factory is closed down, some irreducible people stay to live in the factory city where they've been spending all their lives. Some of them also keep going to work, to repair the machinery.",French,France,4 wins & 2 nominations.,https://m.media-amazon.com/images/M/MV5BYzMwZmU0MTQtNzZhZS00NDhmLTkwYmMtYmE0MDU0ZmNiZGFiXkEyXkFqcGdeQXVyMTk5NTAxMTc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}]",N/A,5.9,191,tt1298828,movie,N/A,N/A,N/A,N/A,
33,True,,Intimate Interviews: Walter Huston,1931,N/A,N/A,9 min,"Short, Comedy",Grace Elliott,N/A,"Walter Huston, Dorothy West","Dorothy West barges in on Walter Huston at his home, and against his wants, proceeds to conduct an interview with him about his private life, his career and his craft. The somewhat flippant...",English,USA,N/A,N/A,[],N/A,N/A,N/A,tt4886216,movie,N/A,N/A,N/A,N/A,
34,False,Movie not found!,,,,,,,,,,,,,,,,,,,,,,,,,
35,True,,William Powell: A True Gentleman,2005,N/A,02 Aug 2005,31 min,"Short, Biography",N/A,N/A,"Rudy Behlmer, Carole Lombard, Myrna Loy, Leonard Maltin",A biography on the life of William Powell narrated by Michael York.,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BYjU1NmQ5MmEtMWQ4ZC00MjdiLTllN2YtZTliZjJkNTRjOTJkXkEyXkFqcGdeQXVyMzU1OTUzMDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}]",N/A,7.1,43,tt1641843,movie,N/A,N/A,N/A,N/A,
36,True,,The Spencer Tracy Legacy: A Tribute by Katharine Hepburn,1986,Not Rated,01 Mar 1986,87 min,Documentary,David Heeley,John Miller,"Joan Bennett, Angela Lansbury, Elizabeth Taylor, Richard Widmark",Spencer Tracy and Katherine Hepburn formed one of the greatest couples of Hollywood's Golden Era -- both on screen and off.,English,USA,Won 2 Primetime Emmys. Another 2 nominations.,https://m.media-amazon.com/images/M/MV5BMTk4MTg3NTkzNl5BMl5BanBnXkFtZTgwODAyNTkwMzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}]",N/A,7.9,205,tt0091994,movie,12 Oct 2004,N/A,MGM/UA Home Entertainment,N/A,
