,Response,Error,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,totalSeasons
0,False,Movie not found!,,,,,,,,,,,,,,,,,,,,,,,,,
1,True,,Faye Dunaway: Live from the TCM Classic Film Festival,2017,N/A,03 Apr 2017,56 min,"Documentary, Biography",Anne McGill Wilson,N/A,"Ben Mankiewicz, Faye Dunaway","Taped before a live audience at Hollywood's Montalbán Theatre during the 2016 TCM Classic Film Festival, Academy Award-winning actress Faye Dunaway sits down with host Ben Mankiewicz for a discussion of her life and career.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMWNjNDRjZTYtZTZiYi00Y2RkLTlkMjUtN2ViM2JmMWE4YTJjXkEyXkFqcGdeQXVyMTYzMTY1MjQ@._V1_SX300.jpg,[],N/A,N/A,N/A,tt6754432,movie,N/A,N/A,N/A,N/A,
2,False,Movie not found!,,,,,,,,,,,,,,,,,,,,,,,,,
3,False,Movie not found!,,,,,,,,,,,,,,,,,,,,,,,,,
4,True,,Liv Ullmann scener fra et liv,1997,N/A,08 Aug 1997,76 min,Documentary,Edvard Hambro,N/A,"Woody Allen, Pernilla August, Mark Bartolini, Ingmar Bergman",N/A,"Norwegian, Swedish, English",Norway,1 win.,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}]",N/A,6.4,36,tt0163721,movie,N/A,N/A,N/A,N/A,
5,True,,Focus: Anne Bancroft,2015,N/A,06 Jun 2015,13 min,"Documentary, Biography, History",Marco Spagnoli,Marco Spagnoli,"Anne Bancroft, Mel Brooks, Ezio Greggio","The outstanding Life and Career of Anne Bancroft told also by the perspective of family friend, Italian comedian and director Ezio Greggio.","Italian, English",Italy,N/A,N/A,[],N/A,N/A,N/A,tt4699324,movie,N/A,N/A,N/A,N/A,
6,True,,Jane Fonda in Five Acts,2018,TV-14,24 Sep 2018,133 min,Documentary,Susan Lacy,N/A,"Jane Fonda, Richard Nixon, Robert Redford, Nathalie Vadim","A look at the life, work, activism and controversies of actress and fitness tycoon, Jane Fonda.","English, French",USA,Nominated for 1 Primetime Emmy. Another 1 win & 3 nominations.,https://m.media-amazon.com/images/M/MV5BMWI3ZGQ4MTItZDYwNy00M2M5LWE4YmQtZTA2ZjE0MWE2YTdlXkEyXkFqcGdeQXVyMjQ3NzUxOTM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}, {'Source': 'Metacritic', 'Value': '87/100'}]",87,8.0,"1,802",tt7689958,movie,N/A,N/A,HBO Documentary Films,N/A,
7,True,,AFI Life Achievement Award: A Tribute to Diane Keaton,2017,N/A,15 Jun 2017,106 min,N/A,Louis J. Horvitz,"Bob Gazzale, Jon Macks","Diane Keaton, Steve Martin, Martin Short, Reese Witherspoon",Actress Diane Keaton is honored with the 45th AFI Life Achievement Award in a ceremony at the Dolby Theatre in Hollywood.,N/A,USA,N/A,https://m.media-amazon.com/images/M/MV5BOWRkOGM1ZmUtYWFiOS00ZWEyLTk3Y2ItZjNhNTQ2NDZjMzgzXkEyXkFqcGdeQXVyMTYzMTY1MjQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}]",N/A,7.3,20,tt7083600,movie,N/A,N/A,N/A,N/A,
8,True,,Shirley MacLaine,2013,N/A,12 Oct 2013,3 min,Short,Haans Nicholas Mott,N/A,Brett Guitar Hofer,N/A,English,USA,N/A,N/A,[],N/A,N/A,N/A,tt3292148,movie,N/A,N/A,N/A,N/A,
9,False,Movie not found!,,,,,,,,,,,,,,,,,,,,,,,,,
10,True,,Ingrid Bergman: In Her Own Words,2015,Not Rated,27 Aug 2015,114 min,"Documentary, Biography",Stig Björkman,"Stig Björkman, Dominika Daubenbüchel, Stina Gardell","Alicia Vikander, Ingrid Bergman, Pia Lindström, Roberto Rossellini",A captivating look behind the scenes of the remarkable life of a young Swedish girl who became one of the most celebrated actresses of American and World cinema.,"Swedish, English, Italian, French","Sweden, Denmark, Germany",2 wins & 3 nominations.,https://m.media-amazon.com/images/M/MV5BMjMzOTEyNjM3NF5BMl5BanBnXkFtZTgwNTY4MDk5NjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '98%'}, {'Source': 'Metacritic', 'Value': '75/100'}]",75,7.3,"1,867",tt4621016,movie,N/A,N/A,"Jonas Gardell Produktion, Svenska Filminstitutet, The Chimney Pot, SVT, Mantaray Film AB, ZDF/Arte",N/A,
11,True,,The Ellen Burstyn Show,1986–1987,N/A,20 Sep 1986,30 min,Comedy,N/A,David Frankel,"Ellen Burstyn, Megan Mullally, Jesse R. Tendler, Barry Sobel","Ellen Brewer, a best-selling author, shares her Baltimore house with single daughter Molly Ross, plus five year old grandson Nick. Added to the mix, is Ellen's sarcastic mother Sydney, and her seminar student Tom, a frequent guest.",English,USA,1 nomination.,https://m.media-amazon.com/images/M/MV5BZjU5NWIwMTUtZTFlYS00YjQ1LTg1YzAtNGVmOTI4ZjU5NTYyXkEyXkFqcGdeQXVyMTQ3Njg3MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}]",N/A,8.2,43,tt0090425,series,,,,,1
12,False,Movie not found!,,,,,,,,,,,,,,,,,,,,,,,,,
13,True,,Jane Fonda in Five Acts,2018,TV-14,24 Sep 2018,133 min,Documentary,Susan Lacy,N/A,"Jane Fonda, Richard Nixon, Robert Redford, Nathalie Vadim","A look at the life, work, activism and controversies of actress and fitness tycoon, Jane Fonda.","English, French",USA,Nominated for 1 Primetime Emmy. Another 1 win & 3 nominations.,https://m.media-amazon.com/images/M/MV5BMWI3ZGQ4MTItZDYwNy00M2M5LWE4YmQtZTA2ZjE0MWE2YTdlXkEyXkFqcGdeQXVyMjQ3NzUxOTM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}, {'Source': 'Metacritic', 'Value': '87/100'}]",87,8.0,"1,802",tt7689958,movie,N/A,N/A,HBO Documentary Films,N/A,
14,True,,Geraldine Page: Stages of a Dream,2014,N/A,N/A,N/A,Documentary,N/A,N/A,"F. Murray Abraham, Ellen Burstyn, Edward Albee, Elizabeth Ashley",Experience the astonishing journey of actress Geraldine Page who became one of the most dazzling phenomenons of the 20th Century. This stunning documentary reveals the remarkable story a ...,N/A,USA,N/A,N/A,[],N/A,N/A,N/A,tt2381191,movie,N/A,N/A,N/A,N/A,
15,False,Movie not found!,,,,,,,,,,,,,,,,,,,,,,,,,
16,False,Movie not found!,,,,,,,,,,,,,,,,,,,,,,,,,
17,True,,Jane Fonda in Five Acts,2018,TV-14,24 Sep 2018,133 min,Documentary,Susan Lacy,N/A,"Jane Fonda, Richard Nixon, Robert Redford, Nathalie Vadim","A look at the life, work, activism and controversies of actress and fitness tycoon, Jane Fonda.","English, French",USA,Nominated for 1 Primetime Emmy. Another 1 win & 3 nominations.,https://m.media-amazon.com/images/M/MV5BMWI3ZGQ4MTItZDYwNy00M2M5LWE4YmQtZTA2ZjE0MWE2YTdlXkEyXkFqcGdeQXVyMjQ3NzUxOTM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}, {'Source': 'Metacritic', 'Value': '87/100'}]",87,8.0,"1,802",tt7689958,movie,N/A,N/A,HBO Documentary Films,N/A,
