,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,Error,totalSeasons
0,"Frank Borzage, Director",2009,N/A,N/A,39 min,Short,Valerie Urso,Valerie Urso,"Allison Anders, Janet Bergstrom, Frank Borzage, Maria Elena de las Carreras","Frank Borzage, Director chronicles the life of Frank Borzage, one of Hollywood's forgotten legends....",N/A,N/A,N/A,https://m.media-amazon.com/images/M/MV5BMTQwNzQ2MTUzMl5BMl5BanBnXkFtZTcwNDM3MDk1Mg@@._V1_SX300.jpg,[],N/A,N/A,N/A,tt1355694,movie,N/A,N/A,N/A,N/A,True,,
1,,,,,,,,,,,,,,,,,,,,,,,,,False,Movie not found!,
2,The Men Who Made the Movies: King Vidor,1973,N/A,N/A,55 min,"Documentary, Biography",Richard Schickel,Richard Schickel,"Sydney Pollack, King Vidor",N/A,English,USA,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}]",N/A,6.1,107,tt0070272,movie,N/A,N/A,N/A,N/A,True,,
3,A Fireside Chat with Lionel Barrymore,1938,N/A,01 Dec 1938,3 min,"Comedy, Drama, Fantasy",Edwin L. Marin,N/A,Lionel Barrymore,A short made by MGM to promote its release of A Christmas Carol (1938). Actor Lionel Barrymore traditionally read the 'Charles Dickens (I)' novel in a radio broadcast every Christmas; he ...,English,USA,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}]",N/A,6.8,6,tt0434035,movie,N/A,N/A,N/A,N/A,True,,
4,,,,,,,,,,,,,,,,,,,,,,,,,False,Movie not found!,
5,,,,,,,,,,,,,,,,,,,,,,,,,False,Movie not found!,
6,Frank Lloyd Wright,1998,TV-PG,23 Jan 1998,146 min,"Documentary, Biography, History","Ken Burns, Lynn Novick",Geoffrey C. Ward,"Edward Herrmann, Philip Bosco, Julie Harris, Sab Shimono",A biography of the life and work of the American architect.,English,USA,Nominated for 1 Primetime Emmy. Another 3 wins & 1 nomination.,https://m.media-amazon.com/images/M/MV5BMTI2MzkyMDU5OV5BMl5BanBnXkFtZTcwNjc4MzgxMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}]",N/A,7.8,597,tt0144937,movie,29 Jul 2008,N/A,N/A,N/A,True,,
7,Frank Lloyd Wright,1998,TV-PG,23 Jan 1998,146 min,"Documentary, Biography, History","Ken Burns, Lynn Novick",Geoffrey C. Ward,"Edward Herrmann, Philip Bosco, Julie Harris, Sab Shimono",A biography of the life and work of the American architect.,English,USA,Nominated for 1 Primetime Emmy. Another 3 wins & 1 nomination.,https://m.media-amazon.com/images/M/MV5BMTI2MzkyMDU5OV5BMl5BanBnXkFtZTcwNjc4MzgxMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}]",N/A,7.8,597,tt0144937,movie,29 Jul 2008,N/A,N/A,N/A,True,,
8,Ernst Lubitsch in Berlin: From Schönhauser Allee to Hollywood,2006,N/A,22 Nov 2006,110 min,"Documentary, Biography",Robert Fischer,Robert Fischer,"Nicola Lubitsch, Tom Tykwer, Michael Hanisch, Hans Helmut Prinzler","In Ernst Lubitsch in Berlin, the first-ever feature documentary on the inventor of the ""Lubitsch Touch"", Lubitsch's daughter Nicola guides us through her father's exciting time in Germany, ...","German, English",Germany,N/A,https://m.media-amazon.com/images/M/MV5BMjA2NTI2MjE3MF5BMl5BanBnXkFtZTcwMjczMTU1MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]",N/A,6.5,84,tt0907732,movie,N/A,N/A,Transit Film,N/A,True,,
9,,,,,,,,,,,,,,,,,,,,,,,,,False,Movie not found!,
10,,,,,,,,,,,,,,,,,,,,,,,,,False,Movie not found!,
11,Ernst Lubitsch in Berlin: From Schönhauser Allee to Hollywood,2006,N/A,22 Nov 2006,110 min,"Documentary, Biography",Robert Fischer,Robert Fischer,"Nicola Lubitsch, Tom Tykwer, Michael Hanisch, Hans Helmut Prinzler","In Ernst Lubitsch in Berlin, the first-ever feature documentary on the inventor of the ""Lubitsch Touch"", Lubitsch's daughter Nicola guides us through her father's exciting time in Germany, ...","German, English",Germany,N/A,https://m.media-amazon.com/images/M/MV5BMjA2NTI2MjE3MF5BMl5BanBnXkFtZTcwMjczMTU1MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]",N/A,6.5,84,tt0907732,movie,N/A,N/A,Transit Film,N/A,True,,
12,,,,,,,,,,,,,,,,,,,,,,,,,False,Movie not found!,
13,The Men Who Made the Movies: King Vidor,1973,N/A,N/A,55 min,"Documentary, Biography",Richard Schickel,Richard Schickel,"Sydney Pollack, King Vidor",N/A,English,USA,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}]",N/A,6.1,107,tt0070272,movie,N/A,N/A,N/A,N/A,True,,
14,Cimarron,1931,Passed,09 Feb 1931,123 min,"Drama, Western",Wesley Ruggles,"Edna Ferber (novel), Howard Estabrook, Howard Estabrook (dialogue)","Richard Dix, Irene Dunne, Estelle Taylor, Nance O'Neil",A newspaper editor settles in an Oklahoma boom town with his reluctant wife at the end of the nineteenth century.,"English, French",USA,Won 3 Oscars. Another 2 wins & 4 nominations.,https://m.media-amazon.com/images/M/MV5BYWQwZGM0MTktNDM1NC00MTZlLTllNzctYTllZWI2MzdiNmMyXkEyXkFqcGdeQXVyNjUwMzI2NzU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '50%'}, {'Source': 'Metacritic', 'Value': '70/100'}]",70,5.9,"5,253",tt0021746,movie,N/A,N/A,RKO Radio Pictures Inc.,N/A,True,,
15,A Free Soul,1931,Passed,20 Jun 1931,93 min,"Crime, Drama, Romance",Clarence Brown,"Adela Rogers St. Johns (from the book by), Becky Gardiner (adaptation)","Norma Shearer, Leslie Howard, Lionel Barrymore, Clark Gable",An alcoholic lawyer who successfully defended a notorious gambler on a murder charge objects when his free-spirited daughter becomes romantically involved with him.,English,USA,Won 1 Oscar. Another 2 nominations.,https://m.media-amazon.com/images/M/MV5BMWY4YjFkNzItMTEyZS00OTIwLWJiYmQtY2JlMTcxZGM4N2Q1XkEyXkFqcGdeQXVyNjc0MzMzNjA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '56%'}]",N/A,6.7,"2,235",tt0021885,movie,N/A,N/A,Metro Goldwyn Mayer,N/A,True,,
