,Release Date,Title,Genre,Runtime,Budget,Revenue
0,1950-10-06,All About Eve,Drama,139.0,1400000.0,150438.0
1,1950-12-25,Born Yesterday,Comedy,103.0,0.0,0.0
2,1991-12-20,Father of the Bride,Comedy,105.0,0.0,89325780.0
3,1985-11-22,King Solomon's Mines,Action,100.0,12500000.0,238227.0
4,2019-12-19,Ed Ruscha - Motorized Photographs of Sunset Blvd. and Other L.A. Streets,Documentary,2.0,0.0,0.0
5,1951-09-26,An American in Paris,Comedy,113.0,2723903.0,4500000.0
6,1951-12-21,Decision Before Dawn,War,119.0,0.0,0.0
7,1951-06-12,A Place in the Sun,Drama,122.0,0.0,0.0
8,1951-11-08,Quo Vadis,Drama,171.0,7623000.0,101486.0
9,1951-09-18,A Streetcar Named Desire,Drama,125.0,1800000.0,8000000.0
10,1952-02-16,The Greatest Show on Earth,Drama,152.0,4000000.0,36000000.0
11,1952-06-09,High Noon,Western,85.0,730000.0,8000000.0
12,1952-01-01,Ivanhoe,Adventure,106.0,0.0,0.0
13,2001-05-24,Moulin Rouge!,Drama,127.0,52500000.0,179213434.0
14,1952-07-21,The Quiet Man,Comedy,129.0,0.0,0.0
15,1953-08-28,From Here to Eternity,Drama,118.0,1650000.0,30500000.0
16,1953-06-04,Julius Caesar,Drama,120.0,0.0,0.0
17,1953-09-16,The Robe,Drama,135.0,4100000.0,36000000.0
18,1953-08-26,Roman Holiday,Comedy,119.0,1500000.0,12000000.0
19,1953-04-23,Shane,Drama,118.0,3100000.0,20000000.0
20,1954-06-23,The Caine Mutiny,War,124.0,2000000.0,21750000.0
21,1955-05-17,The Country Girl,Music,104.0,0.0,0.0
22,1954-06-22,On the Waterfront,Crime,108.0,910000.0,9600000.0
23,1954-07-22,Seven Brides for Seven Brothers,Comedy,102.0,0.0,5000000.0
24,1954-05-01,Three Coins in the Fountain,Drama,102.0,0.0,0.0
25,1955-08-18,Love Is a Many-Splendored Thing,Drama,102.0,0.0,0.0
26,1955-04-11,Marty,Drama,90.0,343000.0,3000000.0
27,1955-07-10,Mister Roberts,Comedy,123.0,0.0,0.0
28,1996-06-15,Picnic,Drama,72.0,0.0,0.0
29,1955-12-12,The Rose Tattoo,Drama,117.0,0.0,0.0
30,2004-06-16,Around the World in 80 Days,Action,120.0,110000000.0,72178895.0
31,1956-11-25,Friendly Persuasion,Drama,137.0,3000000.0,8000000.0
32,2013-02-27,Jack the Giant Slayer,Action,114.0,195000000.0,197687603.0
33,1956-06-29,The King and I,Drama,133.0,4550000.0,21300000.0
34,1956-10-05,The Ten Commandments,Drama,220.0,13000000.0,122700000.0
35,1957-10-02,The Bridge on the River Kwai,Drama,161.0,3000000.0,44908000.0
36,1957-12-13,Peyton Place,Drama,151.0,0.0,0.0
37,1957-12-25,Sayonara,Drama,147.0,0.0,0.0
38,1957-04-10,12 Angry Men,Drama,97.0,350000.0,1000000.0
39,1957-12-17,Witness for the Prosecution,Drama,116.0,3000000.0,9000000.0
40,1958-12-04,Auntie Mame,Comedy,143.0,0.0,0.0
41,1958-09-20,Cat on a Hot Tin Roof,Drama,108.0,3000000.0,17570324.0
42,1958-08-14,The Defiant Ones,Crime,96.0,0.0,0.0
43,1958-04-15,Gigi,Comedy,116.0,3319355.0,0.0
44,1958-12-18,Separate Tables,Drama,100.0,0.0,0.0
45,1959-07-01,Anatomy of a Murder,Crime,161.0,0.0,0.0
46,2016-08-17,Ben-Hur,Action,125.0,100000000.0,94061311.0
47,1959-03-18,The Diary of Anne Frank,Drama,180.0,3000000.0,0.0
48,1959-06-18,The Nun's Story,Drama,149.0,3500000.0,12800000.0
49,1959-01-22,Room at the Top,Drama,115.0,0.0,0.0
50,2004-04-07,The Alamo,Western,137.0,145000000.0,25819961.0
51,1960-06-21,The Apartment,Comedy,125.0,3000000.0,25000000.0
52,1960-07-07,Elmer Gantry,Drama,146.0,3000000.0,10400000.0
53,1960-08-29,Sons and Lovers,Drama,103.0,0.0,0.0
54,1960-12-08,The Sundowners,Adventure,133.0,0.0,0.0
55,1982-12-17,Fanny and Alexander,Fantasy,188.0,6000000.0,6795771.0
56,1961-04-27,The Guns of Navarone,War,158.0,6000000.0,28900000.0
57,1961-09-25,The Hustler,Drama,134.0,2000000.0,7600000.0
58,1961-12-01,Judgment at Nuremberg,Drama,179.0,3000000.0,10000000.0
59,1961-12-13,West Side Story,Crime,152.0,6000000.0,43656822.0
60,1962-12-11,Lawrence of Arabia,Adventure,227.0,15000000.0,69995385.0
61,1962-09-25,The Longest Day,Drama,178.0,10000000.0,50100000.0
62,1935-11-22,Mutiny on the Bounty,Adventure,132.0,1950000.0,4460000.0
63,1962-12-25,To Kill a Mockingbird,Drama,129.0,2000000.0,13129846.0
64,1963-12-15,America America,Drama,174.0,0.0,0.0
65,1963-06-12,Cleopatra,Drama,248.0,31115000.0,71000000.0
66,1962-10-01,How the West Was Won,Western,162.0,15000000.0,50000000.0
67,1963-06-04,Lilies of the Field,Comedy,94.0,0.0,0.0
68,1963-08-24,Tom Jones,Adventure,128.0,1000000.0,37600000.0
69,1964-03-11,Becket,Drama,148.0,0.0,0.0
70,1964-01-29,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Drama,95.0,1800000.0,9440272.0
