,Response,Error,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,totalSeasons
0,False,Movie not found!,,,,,,,,,,,,,,,,,,,,,,,,,
1,True,,Fox,2009,N/A,04 Sep 2009,145 min,"Crime, Drama, Mystery, Thriller",Deepak Tijori,"Kamal Pandey (dialogue), Deepak Tijori (story & screenplay)","Arjun Rampal, Sunny Deol, Udita Goswami, Sagarika Ghatge",A disgraced lawyer-turned-author is arrested for multiple homicides.,"Hindi, English",India,N/A,https://m.media-amazon.com/images/M/MV5BMDA4YTk5OWUtNGZjZS00Yjc3LWEzOTMtNzNhYTJmZjZlYWJkXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}]",N/A,5.2,527,tt1324076,movie,12 Jan 2010,N/A,Venus,N/A,
2,False,Movie not found!,,,,,,,,,,,,,,,,,,,,,,,,,
3,False,Movie not found!,,,,,,,,,,,,,,,,,,,,,,,,,
4,True,,Fox,2009,N/A,04 Sep 2009,145 min,"Crime, Drama, Mystery, Thriller",Deepak Tijori,"Kamal Pandey (dialogue), Deepak Tijori (story & screenplay)","Arjun Rampal, Sunny Deol, Udita Goswami, Sagarika Ghatge",A disgraced lawyer-turned-author is arrested for multiple homicides.,"Hindi, English",India,N/A,https://m.media-amazon.com/images/M/MV5BMDA4YTk5OWUtNGZjZS00Yjc3LWEzOTMtNzNhYTJmZjZlYWJkXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}]",N/A,5.2,527,tt1324076,movie,12 Jan 2010,N/A,Venus,N/A,
5,True,,The Metro-Goldwyn-Mayer Story,1951,N/A,12 Mar 1951,60 min,Documentary,N/A,N/A,"Dore Schary, Lionel Barrymore, Herbert Anderson, Richard Anderson","After some preliminary remarks, Lionel Barrymore introduces Dore Schary, MGM's vice president in charge of production. Mr. Schary serves as commentator as scenes for several films scheduled...",English,USA,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}]",N/A,6.8,55,tt0151547,movie,N/A,N/A,N/A,N/A,
6,True,,The Metro-Goldwyn-Mayer Story,1951,N/A,12 Mar 1951,60 min,Documentary,N/A,N/A,"Dore Schary, Lionel Barrymore, Herbert Anderson, Richard Anderson","After some preliminary remarks, Lionel Barrymore introduces Dore Schary, MGM's vice president in charge of production. Mr. Schary serves as commentator as scenes for several films scheduled...",English,USA,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}]",N/A,6.8,55,tt0151547,movie,N/A,N/A,N/A,N/A,
7,False,Movie not found!,,,,,,,,,,,,,,,,,,,,,,,,,
8,True,,All Quiet on the Western Front,1930,Passed,24 Aug 1930,152 min,"Drama, War",Lewis Milestone,"Erich Maria Remarque (by), Maxwell Anderson (adaptation), George Abbott (screen play), Del Andrews (adaptation), C. Gardner Sullivan (supervising story chief)","Louis Wolheim, Lew Ayres, John Wray, Arnold Lucy",A young soldier faces profound disillusionment in the soul-destroying horror of World War I.,"English, French, German, Latin",USA,Won 2 Oscars. Another 5 wins & 2 nominations.,https://m.media-amazon.com/images/M/MV5BMzg2MWQ4MDEtOGZlNi00MTg0LWIwMjQtYWY5NTQwYmUzMWNmXkEyXkFqcGdeQXVyMzg2MzE2OTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '98%'}, {'Source': 'Metacritic', 'Value': '91/100'}]",91,8.0,"56,115",tt0020629,movie,N/A,N/A,Universal Pictures,N/A,
9,True,,The Big House,1930,Passed,14 Jun 1930,87 min,"Crime, Drama, Thriller","George W. Hill, Ward Wing","Frances Marion (story and dialogue), Joseph Farnham (additional dialogue), Martin Flavin (additional dialogue)","Chester Morris, Wallace Beery, Lewis Stone, Robert Montgomery","A convict falls in love with his new cellmate's sister, only to become embroiled in a planned break-out which is certain to have lethal consequences.","English, Russian",USA,Won 2 Oscars. Another 2 nominations.,https://m.media-amazon.com/images/M/MV5BNjBjMmU2NjQtOGJlYS00OTE4LWE4ZjYtNzlmMzJhYmE5MjA5L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '75%'}]",N/A,7.1,"1,782",tt0020686,movie,N/A,N/A,Metro Goldwyn Mayer,N/A,
10,True,,Disraeli,1929,Passed,01 Nov 1929,90 min,"Biography, Drama, History",Alfred E. Green,Julien Josephson (screen play),"George Arliss, Doris Lloyd, David Torrence, Joan Bennett",Prime Minister of Great Britain Benjamin Disraeli outwits the subterfuge of the Russians and chicanery at home in order to secure the purchase of the Suez Canal.,English,USA,Won 1 Oscar. Another 2 wins & 2 nominations.,https://m.media-amazon.com/images/M/MV5BMTc1NTAxOTExMV5BMl5BanBnXkFtZTgwMDk1MjgwMjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}]",N/A,6.2,"1,033",tt0019823,movie,29 Apr 2008,N/A,A & E,N/A,
11,True,,The Divorcee,1930,Passed,19 Apr 1930,84 min,"Romance, Drama",Robert Z. Leonard,"Ursula Parrott (based on a novel by), Nick Grinde (treatment), Zelda Sears (treatment)","Norma Shearer, Chester Morris, Conrad Nagel, Robert Montgomery","When a woman discovers that her husband has been unfaithful to her, she decides to respond to his infidelities in kind.","English, French",USA,Won 1 Oscar. Another 3 nominations.,https://m.media-amazon.com/images/M/MV5BMTk5NzQzNjEwNV5BMl5BanBnXkFtZTgwNjA2NTAwMjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '75%'}]",N/A,6.8,"2,596",tt0020827,movie,N/A,N/A,Metro-Goldwyn-Mayer,N/A,
12,True,,The Love Parade,1929,Passed,18 Jan 1930,107 min,"Comedy, Musical, Romance",Ernst Lubitsch,"Ernest Vajda (by), Guy Bolton (by), Leon Xanrof (from the play: ""The Prince Consort""), Jules Chancel (from the play: ""The Prince Consort"")","Maurice Chevalier, Jeanette MacDonald, Lupino Lane, Lillian Roth","The queen of mythical Sylvania marries a courtier, who finds his new life unsatisfying.","English, French",USA,Nominated for 6 Oscars. Another 1 win.,https://m.media-amazon.com/images/M/MV5BNDYyZDJlYTYtMjkwYS00MTM3LTkyNmUtOTZlZGUzMTUyMWE0XkEyXkFqcGdeQXVyNjA5MTAzODY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,7.1,"1,898",tt0020112,movie,N/A,N/A,"Paramount Pictures, Paramount Famous Lasky Corporation",N/A,
13,True,,Cimarron,1931,Passed,09 Feb 1931,123 min,"Drama, Western",Wesley Ruggles,"Edna Ferber (novel), Howard Estabrook, Howard Estabrook (dialogue)","Richard Dix, Irene Dunne, Estelle Taylor, Nance O'Neil",A newspaper editor settles in an Oklahoma boom town with his reluctant wife at the end of the nineteenth century.,"English, French",USA,Won 3 Oscars. Another 2 wins & 4 nominations.,https://m.media-amazon.com/images/M/MV5BYWQwZGM0MTktNDM1NC00MTZlLTllNzctYTllZWI2MzdiNmMyXkEyXkFqcGdeQXVyNjUwMzI2NzU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '50%'}, {'Source': 'Metacritic', 'Value': '70/100'}]",70,5.9,"5,253",tt0021746,movie,N/A,N/A,RKO Radio Pictures Inc.,N/A,
14,True,,East Lynne,1931,N/A,01 Mar 1931,102 min,Drama,Frank Lloyd,"Tom Barry, Bradley King, Mrs. Henry Wood (novel)","Ann Harding, Clive Brook, Conrad Nagel, Cecilia Loftus","The refined Lady Isabel Carlisle, after leaving her family and enduring nearly a decade of hardships, learns that her son has fallen ill. Despite being nearly blinded as the result of an explosion, she returns home to see her son again.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BYjlhYzMyMzEtN2I2Yy00OGE3LWI5ZjAtNDI4YzkzMGFhM2M3XkEyXkFqcGdeQXVyNDY1NzU5NjY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '0%'}]",N/A,6.9,89,tt0021826,movie,N/A,N/A,N/A,N/A,
15,True,,The Front Page,1974,PG,20 Dec 1974,105 min,"Comedy, Drama, Romance",Billy Wilder,"Ben Hecht (play), Charles MacArthur (play), Billy Wilder (screenplay), I.A.L. Diamond (screenplay)","Jack Lemmon, Walter Matthau, Susan Sarandon, Vincent Gardenia","As a tabloid newspaper editor tries to prevent his top reporter from retiring, an escaped death row convict shows up at the office trying to convey his innocence.",English,USA,Nominated for 3 Golden Globes. Another 2 wins & 1 nomination.,https://m.media-amazon.com/images/M/MV5BNzFiMTFkYzItODM4Zi00ZGM0LThhOGItYTBhYjNhMmY2ZmZmL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '70%'}, {'Source': 'Metacritic', 'Value': '62/100'}]",62,7.3,"12,053",tt0071524,movie,N/A,N/A,N/A,N/A,
